OBJECTID,Shape,PARKNUMBER
317,"(40.59903895000008, -73.76676896099991)",Q007
318,"(40.59895518800005, -73.76754106399994)",Q007
319,"(40.82132359800005, -73.92636589199992)",X047
320,"(40.82202665300008, -73.92670189199993)",X047
321,"(40.82500373700009, -73.92799158399993)",X237
322,"(40.83593044100007, -73.90000865699994)",X010
323,"(40.59522958800005, -73.99269816999993)",B349
324,"(40.595308498000065, -73.99291255599991)",B349
325,"(40.59746557100004, -73.9999786269999)",B007
326,"(40.60240498500008, -74.00229416099995)",B277
327,"(40.66726296000007, -73.90746275999993)",B228
328,"(40.667274176000035, -73.90710621499994)",B228
329,"(40.66061646600008, -73.90716632599992)",B339
330,"(40.66091428100009, -73.90684501699991)",B339
331,"(40.66161410500007, -73.90531415999993)",B396
332,"(40.66826083400008, -73.90580250699992)",B397
333,"(40.66833367400005, -73.90586812299995)",B397
334,"(40.663168846000076, -73.91428382399994)",B008
335,"(40.662509567000086, -73.91323621299995)",B008
336,"(40.66226840100006, -73.9136440449999)",B008
337,"(40.662370734000035, -73.91283576799992)",B008
338,"(40.66341451200009, -73.91315632299995)",B008
339,"(40.66421129000008, -73.91141076699995)",B008
340,"(40.663536143000044, -73.91246558099994)",B008
341,"(40.85438445600005, -73.87015991899995)",X002
342,"(40.730932530000075, -73.99686525699991)",M098
343,"(40.70596500100004, -73.9347055259999)",B132
344,"(40.70316318600004, -73.92407438599992)",B016
345,"(40.69029768200005, -73.9736857339999)",B032
346,"(40.69346314100005, -73.78019859099993)",Q051
347,"(40.693630377000034, -73.77997776899991)",Q051
348,"(40.693028489000085, -73.77982427299992)",Q051
349,"(40.69317321200003, -73.77815234699995)",Q051
350,"(40.69332034300004, -73.77773723399991)",Q051
351,"(40.67073389500007, -73.99401232299994)",B095
352,"(40.672337989000084, -74.00310758799992)",B126
353,"(40.671334899000044, -74.00622963099994)",B126
354,"(40.67125989900006, -74.00687463199995)",B126
355,"(40.671523232000084, -74.00782129799995)",B126
356,"(40.67271823300007, -74.00802129899995)",B126
357,"(40.67277156600005, -74.00791796499993)",B126
358,"(40.67242156600008, -74.0067812989999)",B126
359,"(40.67242490000007, -74.00603629799991)",B126
360,"(40.671261566000055, -74.00464296399991)",B126
361,"(40.67201489900009, -74.00556129799992)",B126
362,"(40.67162723300004, -73.96740361999991)",B159
363,"(40.66843456700008, -73.9680955629999)",B073
364,"(40.66364143000004, -73.97388522999995)",B073
365,"(40.79702548200004, -73.9677020979999)",M220
366,"(40.797199774000035, -73.96762555499993)",M220
367,"(40.79735231300003, -73.96767804699994)",M220
368,"(40.602322196000046, -74.01159183999994)",B164
369,"(40.60230644500007, -74.01123284699992)",B164
370,"(40.602595843000074, -74.01131573999993)",B164
371,"(40.60264849300006, -74.01100508299993)",B164
372,"(40.60651521900007, -74.02017346499991)",B028
373,"(40.60654938600004, -74.02025996599991)",B028
374,"(40.814078264000045, -73.88599126799994)",X113
375,"(40.81401897900008, -73.8857190459999)",X113
376,"(40.814262098000086, -73.88599693399993)",X113
377,"(40.814228265000054, -73.88622626799992)",X113
378,"(40.82365293400005, -73.88137365599994)",X195A
379,"(40.82382721100004, -73.88139971099991)",X195A
380,"(40.88994394700006, -73.88128371499994)",X092
381,"(40.80916431800006, -73.91122299799991)",X045
382,"(40.74801334400007, -73.9685578939999)",M158
383,"(40.75719353800008, -73.96008077599993)",M108P
384,"(40.759509585000046, -73.95867112099995)",M108Q
385,"(40.759392252000055, -73.9587106219999)",M108Q
386,"(40.75951450100007, -73.9587821209999)",M108Q
387,"(40.85308833100004, -73.93766269499991)",M009
388,"(40.85316699300006, -73.9380198419999)",M009
389,"(40.770283205000055, -73.76886194999992)",Q012
390,"(40.77047692600007, -73.76989050599991)",Q012
391,"(40.77098553700006, -73.77159811699994)",Q012
392,"(40.77187659400005, -73.76926456099994)",Q012
393,"(40.77221269900008, -73.76946989999993)",Q012
394,"(40.77335580300007, -73.76969599899991)",Q012B
395,"(40.77108325900008, -73.77937622999991)",Q103
396,"(40.718658824000045, -73.82041564499991)",Q336
397,"(40.718455077000044, -73.82061724499994)",Q336
398,"(40.717469152000035, -73.82024018699991)",Q336
399,"(40.722568822000085, -73.83703645999992)",Q348
400,"(40.743284422000045, -73.84879479799991)",Q099
401,"(40.743232352000064, -73.84883341499994)",Q099
402,"(40.74316897400007, -73.84886102899992)",Q099
403,"(40.74618369600006, -73.85048558599993)",Q099
404,"(40.746164142000055, -73.85048375199995)",Q099
405,"(40.74610392000005, -73.85044225199994)",Q099
406,"(40.743698072000086, -73.85551006999992)",Q029
407,"(40.74808025400006, -73.84146258399994)",Q099
408,"(40.748093753000035, -73.84144552799995)",Q099
409,"(40.741946974000086, -73.84951513999994)",Q099
410,"(40.74198853000007, -73.84956175199994)",Q099
411,"(40.74199730700008, -73.84955663999995)",Q099
412,"(40.74127741800004, -73.84813575099992)",Q099
413,"(40.74323936300004, -73.84735664099992)",Q099
414,"(40.74778397600005, -73.83910919399995)",Q099
415,"(40.74767992300008, -73.83906160999993)",Q099
416,"(40.74773738300007, -73.83909129299991)",Q099
417,"(40.74762611700004, -73.83905056399993)",Q099
418,"(40.75652828600005, -73.85508836799994)",Q410
419,"(40.75638729000008, -73.85505160299994)",Q410
420,"(40.75552011900004, -73.85479399099995)",Q410
421,"(40.755470296000055, -73.85440485299995)",Q410
422,"(40.754900417000044, -73.85517531799991)",Q415
423,"(40.75464032300005, -73.85570414199992)",Q415
424,"(40.74538875300004, -73.84587014099992)",Q099
425,"(40.745429141000045, -73.84574297299991)",Q099
426,"(40.74541132300004, -73.84580295699993)",Q099
427,"(40.745603419000076, -73.84419158399993)",Q099
428,"(40.74557191800005, -73.84416797199992)",Q099
429,"(40.81287393000008, -73.91350244299991)",X045
430,"(40.81236437400008, -73.9137476649999)",X045
431,"(40.81795659800008, -73.90716627499995)",X194
432,"(40.75593218700004, -73.82605523799992)",Q211
433,"(40.756131819000075, -73.82592697399991)",Q211
434,"(40.75834482400006, -73.83106792899991)",Q326
435,"(40.78542895800007, -73.95086368599993)",M236
436,"(40.78525184600005, -73.95112877499992)",M236
437,"(40.78947125700006, -73.96395151399992)",M010
438,"(40.78506809000004, -73.9667685149999)",M010
439,"(40.78980729500006, -73.96882246899992)",M244
440,"(40.780703034000055, -73.96877223599995)",M010
441,"(40.77641653900008, -73.97512833999991)",M010
442,"(40.858375608000074, -73.8717055429999)",X002
443,"(40.86024177400009, -73.87128559899992)",X002
444,"(40.78963287400006, -73.79033062499991)",Q010A
445,"(40.790209375000074, -73.78905634499995)",Q010A
446,"(40.57968137900008, -74.07609464899991)",R046
447,"(40.73114695500004, -73.99927380799994)",M098
448,"(40.73151507700004, -73.99748896599993)",M098
449,"(40.73069441100006, -73.99857479899993)",M098
450,"(40.73100365800008, -74.00099710299992)",M125C
451,"(40.730621287000076, -73.99705410999991)",M098
452,"(40.73042174900007, -73.99635122099994)",M098
453,"(40.73000675700007, -73.99652958999991)",M098
454,"(40.72799685200005, -73.99597471499993)",M295
455,"(40.60604715000005, -73.92636746699992)",B057
456,"(40.59790122000004, -73.94670644199994)",B209
457,"(40.59809482700007, -73.94048255599995)",B235
458,"(40.598214565000035, -73.93922226099994)",B235
459,"(40.608169056000065, -73.93720682799994)",B057
460,"(40.60863922200008, -73.93659538399993)",B057
461,"(40.60856955600008, -73.9359577159999)",B057
462,"(40.608151056000054, -73.9359946049999)",B057
463,"(40.60777100100006, -73.93610654999992)",B057
464,"(40.60672933400008, -73.93390443699991)",B057
465,"(40.60479372200007, -73.93278393799994)",B057
466,"(40.60385933300006, -73.93416710499991)",B057
467,"(40.605067000000076, -73.9364686049999)",B057
468,"(40.60683266700005, -73.9375987169999)",B057
469,"(40.69201355000007, -73.97498368499993)",B032
470,"(40.68473806900005, -73.98816834899992)",B230
471,"(40.68465773500009, -73.98785240399991)",B230
472,"(40.689290363000055, -73.97173604499994)",B321
473,"(40.68924843700006, -73.97155632999994)",B321
474,"(40.68666426300007, -73.9807785939999)",B137
475,"(40.686855464000075, -73.9813229159999)",B137
476,"(40.69055058300006, -73.97088647599992)",B253
477,"(40.69022586600005, -73.97058974299995)",B253
478,"(40.69072504300004, -73.97539323399991)",B032
479,"(40.69083157100005, -73.97467948399992)",B032
480,"(40.83463610000007, -73.93833845199993)",M073
481,"(40.83021863500005, -73.94003689199991)",MZ226
482,"(40.84353790200004, -73.93390988499993)",M037
483,"(40.84424401600006, -73.93311551099993)",M037
484,"(40.845335532000036, -73.93259248999993)",M037
485,"(40.843142825000086, -73.9337544039999)",M037
486,"(40.71860018400008, -73.88451008399994)",Q102
487,"(40.71946971600005, -73.88186308999991)",Q102
488,"(40.68014236800008, -73.77528622199992)",Q426
489,"(40.68576350500007, -73.76988798699995)",Q448
490,"(40.686129091000055, -73.76954303799994)",Q448
491,"(40.68686882700007, -73.76955769499995)",Q448
492,"(40.68468864300007, -73.77031506299994)",Q210
493,"(40.686149629000056, -73.75589491599993)",Q330
494,"(40.68571657000007, -73.75666949999993)",Q330
495,"(40.70027042300006, -73.75806132299994)",Q106
496,"(40.700108439000076, -73.75826107299991)",Q106
497,"(40.699425991000055, -73.75809283899991)",Q106
498,"(40.69949536300004, -73.75761602499995)",Q106
499,"(40.57680377100007, -73.97028650399994)",B337
500,"(40.57723198600007, -73.96964802999992)",B337
501,"(40.57720504200006, -73.9708145379999)",B337
502,"(40.626574367000046, -74.03618133499992)",B192
503,"(40.62607866600007, -74.03642225999994)",B192
504,"(40.69700957500004, -73.8964712049999)",Q302
505,"(40.698284571000045, -73.89638046599993)",Q302
506,"(40.69748289900008, -73.89696973499991)",Q302
507,"(40.81354349600008, -73.96211998299992)",M087
508,"(40.81261804500008, -73.96258186199992)",M087
509,"(40.66220978800004, -73.97461650999992)",B073
510,"(40.66097928700009, -73.97383934299995)",B073
511,"(40.66138500900007, -73.97697184399993)",B073
512,"(40.66250967700006, -73.97438900999992)",B073
513,"(40.66165489900004, -73.97284328699993)",B073
514,"(40.66123162000008, -73.97356845399992)",B073
515,"(40.66146695400005, -73.97667884399993)",B073
516,"(40.66168967600004, -73.97668267699993)",B073
517,"(40.66136034300007, -73.97652595499994)",B073
518,"(40.660686620000035, -73.97481795499993)",B073
519,"(40.72316757800007, -73.97255145799994)",M144
520,"(40.72357857700007, -73.97255762299994)",M144
